Unnamed: 0,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,id,Venue Latitude,Venue Longitude,Venue Category,ratings
34,Chinatown,40.71561842231432,-73.99427936255978,The Fat Radish,4c9d482e46978cfa8247967f,40.715322528335335,-73.99194951476356,English Restaurant,8.6
35,Chinatown,40.71561842231432,-73.99427936255978,Michaeli Bakery,5cd1aa6a9d746800394f556d,40.71470398399014,-73.99184703826903,Bakery,8.8
36,Chinatown,40.71561842231432,-73.99427936255978,Regina's Grocery,59318ce1c5b11c6c16c15d29,40.71545271972335,-73.99162066038105,Sandwich Place,8.7
37,Chinatown,40.71561842231432,-73.99427936255978,Museum at Eldridge Street,4b37a3c9f964a5207e4325e3,40.714724,-73.99349699999999,Museum,8.4
38,Chinatown,40.71561842231432,-73.99427936255978,Wah Fung Number 1 Fast Food 華豐快飯店,4a96bf8ff964a520ce2620e3,40.71727831655619,-73.99417731304892,Chinese Restaurant,8.3
39,Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,5894c9a15e56b417cf79e553,40.715231941715004,-73.99726288220869,Chinese Restaurant,8.9
40,Chinatown,40.71561842231432,-73.99427936255978,Super Taste (百味蘭州拉面) (Super Taste),49e8ee2ef964a520af651fe3,40.71519757566772,-73.99351118851399,Noodle House,8.3
41,Chinatown,40.71561842231432,-73.99427936255978,GoGreen Organic Spa,4afde8eaf964a520f52b22e3,40.717014,-73.995847,Spa,8.3
42,Chinatown,40.71561842231432,-73.99427936255978,Metrograph,56bf8899cd102af95de0a66e,40.714998539086416,-73.99103539533131,Indie Movie Theater,9.5
43,Chinatown,40.71561842231432,-73.99427936255978,The Sill,507820cee4b0bf54e0b19f39,40.716244858728366,-73.99202728744018,Garden Center,8.3
44,Chinatown,40.71561842231432,-73.99427936255978,Dimes,522dfe8b7e4826517408a264,40.71483045349728,-73.99171854350031,American Restaurant,8.5
45,Chinatown,40.71561842231432,-73.99427936255978,The Crown,59287ec99cadd905284e4052,40.7159596120117,-73.99671727688867,Roof Deck,8.3
